Ticker;Name;Fitch Long Term Issuer Default Rating;Cntry Terrtry;GICS Sector
GPSC TB Equity;GLOBAL POWER SYNERGY PCL;BBB-;TH;Utilities
NN NA Equity;NN GROUP NV;A+;NE;Financials
ARES US Equity;ARES MANAGEMENT CORP - A;A-;US;Financials
SEPLAT NL Equity;SEPLAT ENERGY PLC;B;NG;Energy
BABA US Equity;ALIBABA GROUP HOLDING-SP ADR;A;HK;Consumer Discretionary
APP US Equity;APPLOVIN CORP-CLASS A;BBB;US;Information Technology
XIFR US Equity;XPLR INFRASTRUCTURE LP;BB+;US;Utilities
SQBN ZU Equity;UZBEK INDUSTRIAL AND CONSTRU;BB;UZ;
WIZZ LN Equity;WIZZ AIR HOLDINGS PLC;BB;HU;Industrials
ELIOR FP Equity;ELIOR GROUP;BB-;FR;Consumer Discretionary
2202 HK Equity;CHINA VANKE CO LTD-H;CC;CH;Real Estate
FNF US Equity;FIDELITY NATIONAL FINANCIAL;BBB+;US;Financials
CFG US Equity;CITIZENS FINANCIAL GROUP;BBB+;US;Financials
AGBA ZU Equity;AGROBANK ATB;BB-;UZ;
SPIE FP Equity;SPIE SA;BB+;FR;Industrials
EQT SS Equity;EQT AB;A-;SW;Financials
NOMD US Equity;NOMAD FOODS LTD;BB;GB;Consumer Staples
ADKO AV Equity;ADDIKO BANK AG;BB;AS;Financials
PYPL US Equity;PAYPAL HOLDINGS INC;A-;US;Financials
FMTY14 MM Equity;FIBRA MTY SAPI DE CV;BBB-;MX;Real Estate
HPE US Equity;HEWLETT PACKARD ENTERPRISE;BBB+;US;Information Technology
UBSG SW Equity;UBS GROUP AG-REG;A;SZ;Financials
MTC TB Equity;MUANGTHAI CAPITAL PCL;BB;TH;Financials
SBBB SS Equity;SAMHALLSBYGGNADSBOLAGET I NO;CCC;SW;Real Estate
INSE US Equity;INSPIRED ENTERTAINMENT INC;B-;US;Consumer Discretionary
DOV IM Equity;DOVALUE SPA;BB;IT;Industrials
ULS US Equity;UL SOLUTIONS INC - CLASS A;BBB+;US;Industrials
QLT LN Equity;QUILTER PLC;A-;GB;Financials
QSR CN Equity;RESTAURANT BRANDS INTERN;BB+;US;Consumer Discretionary
1958 HK Equity;BAIC MOTOR CORP LTD-H;BBB+;CH;Consumer Discretionary
QRVO US Equity;QORVO INC;BBB+;US;Information Technology
MULT GR Equity;MULTITUDE AG;B+;SZ;Financials
NXT US Equity;NEXTPOWER INC-CL A;BBB-;US;Industrials
ADANIENS IN Equity;ADANI ENERGY SOLUTIONS LTD;BBB-;IN;Utilities
1 HK Equity;CK HUTCHISON HOLDINGS LTD;A-;HK;Industrials
CUERVO* MM Equity;BECLE SAB DE CV;BBB;MX;Consumer Staples
CLNX SM Equity;CELLNEX TELECOM SA;BBB-;SP;Communication Services
IPTB ZU Equity;IPOTEKA-BANK ATIB;BB;UZ;
INW IM Equity;INFRASTRUTTURE WIRELESS ITAL;BBB-;IT;Communication Services
JXN US Equity;JACKSON FINANCIAL INC-A;BBB+;US;Financials
FCPT US Equity;FOUR CORNERS PROPERTY TRUST;BBB;US;Real Estate
NGVT US Equity;INGEVITY CORP;BB;US;Materials
WSC US Equity;WILLSCOT HOLDINGS CORP;BB;US;Industrials
AA US Equity;ALCOA CORP;BB+;US;Materials
CCEP US Equity;COCA-COLA EUROPACIFIC PARTNE;BBB+;GB;Consumer Staples
SHA0 GR Equity;SCHAEFFLER AG;BB+;GE;Consumer Discretionary
ABN NA Equity;ABN AMRO BANK NV-CVA;A;NE;Financials
FPH US Equity;FIVE POINT HOLDINGS LLC-CL A;B;US;Real Estate
3996 HK Equity;CHINA ENERGY ENGINEERING C-H;BBB+;CH;Industrials
DD US Equity;DUPONT DE NEMOURS INC;BBB+;US;Materials
DOW US Equity;DOW INC;BBB;US;Materials
CTVA US Equity;CORTEVA INC;A;US;Materials
SIMH3 BZ Equity;SIMPAR SA;BB-;BZ;Industrials
ENELCHIL CI Equity;ENEL CHILE SA;BBB+;CL;Utilities
AMBP3 BZ Equity;AMBIPAR PARTICIPACOES E EMPR;D;BZ;Industrials
BEZ LN Equity;BEAZLEY PLC;A;GB;Financials
HGV US Equity;HILTON GRAND VACATIONS INC;BB-;US;Consumer Discretionary
VAB VN Equity;VIETNAM ASIA COMMERCIAL JSB;B+;VN;Financials
MOVI3 BZ Equity;MOVIDA PARTICIPACOES SA;BB-;BZ;Industrials
2588 HK Equity;BOC AVIATION LTD;A-;SI;Industrials
ITT US Equity;ITT INC;BBB+;US;Industrials
FLT SP Equity;FRASERS LOGISTICS & COMMERCI;BBB+;SI;Real Estate
1606 HK Equity;CHINA DEVELOPMENT BANK FIN-H;A;CH;Financials
PR US Equity;PERMIAN RESOURCES CORP-CL A;BBB-;US;Energy
IG IM Equity;ITALGAS SPA;BBB+;IT;Utilities
OBDC US Equity;BLUE OWL CAPITAL CORP;BBB;US;Financials
NRR LN Equity;NEWRIVER REIT PLC;BBB;GB;Real Estate
FTI US Equity;TECHNIPFMC PLC;BBB-;GB;Energy
DELL US Equity;DELL TECHNOLOGIES -C;BBB+;US;Information Technology
VST US Equity;VISTRA CORP;BB+;US;Utilities
6058 HK Equity;CISI FIN;BBB;HK;Financials
ZTO US Equity;ZTO EXPRESS CAYMAN INC-ADR;A-;CH;Industrials
HWM US Equity;HOWMET AEROSPACE INC;A-;US;Industrials
BHF US Equity;BRIGHTHOUSE FINANCIAL INC;BBB;US;Financials
300750 CH Equity;CONTEMPORARY AMPEREX TECHN-A;A-;CH;Industrials
FEC CN Equity;FRONTERA ENERGY CORP;B;CA;Energy
IWG LN Equity;INTERNATIONAL WORKPLACE GROU;BBB;SZ;Real Estate
BAMI IM Equity;BANCO BPM SPA;BBB;IT;Financials
DXC US Equity;DXC TECHNOLOGY CO;BBB-;US;Information Technology
SFOR LN Equity;S4 CAPITAL PLC;B+;GB;Communication Services
HOME SM Equity;NEINOR HOMES SA;B+;SP;Consumer Discretionary
INVH US Equity;INVITATION HOMES INC;BBB+;US;Real Estate
TKO FP Equity;TIKEHAU CAPITAL;BBB-;FR;Financials
SWX US Equity;SOUTHWEST GAS HOLDINGS INC;BBB;US;Utilities
BPAC11 BZ Equity;BANCO BTG PACTUAL SA-UNIT;BB+;BZ;Financials
DK US Equity;DELEK US HOLDINGS INC;B+;US;Energy
AVTR US Equity;AVANTOR INC;BB+;US;Health Care
NCBFG JA Equity;NCB FINANCIAL GROUP LTD;B+;JM;Financials
JAIZBANK NL Equity;JAIZ BANK PLC;B-;NG;Financials
RAIL3 BZ Equity;RUMO SA;BB+;BZ;Industrials
AVAH US Equity;AVEANNA HEALTHCARE HOLDINGS;B-;US;Health Care
AM US Equity;ANTERO MIDSTREAM CORP;BBB-;US;Energy
KREF US Equity;KKR REAL ESTATE FINANCE TRUS;BB-;US;Financials
BIRG ID Equity;BANK OF IRELAND GROUP PLC;A-;IR;Financials
NVT US Equity;NVENT ELECTRIC PLC;BBB;GB;Industrials
AYV FP Equity;AYVENS SA;BBB+;FR;Industrials
CGBD US Equity;CARLYLE SECURED LENDING INC;BBB-;US;Financials
NRP SJ Equity;NEPI ROCKCASTLE N.V.;BBB+;NE;Real Estate
SUPR LN Equity;SUPERMARKET INCOME REIT PLC;BBB+;GB;Real Estate
SFC CN Equity;SAGICOR FINANCIAL CO LTD;BBB;CA;Financials
SOHO LN Equity;SOCIAL HOUSING REIT PLC;A-;GB;Real Estate
TDW US Equity;TIDEWATER INC;B+;US;Energy
WH US Equity;WYNDHAM HOTELS & RESORTS INC;BB+;US;Consumer Discretionary
ERO CN Equity;ERO COPPER CORP;B+;CA;Materials
NEXA US Equity;NEXA RESOURCES SA;BBB-;BZ;Materials
VICI US Equity;VICI PROPERTIES INC;BBB-;US;Real Estate
PIRC IM Equity;PIRELLI & C SPA;BBB;IT;Consumer Discretionary
APG US Equity;API GROUP CORP;BB+;US;Industrials
GTX US Equity;GARRETT MOTION INC;BB;SZ;Consumer Discretionary
NMRK US Equity;NEWMARK GROUP INC-CLASS A;BBB-;US;Real Estate
SUZB3 BZ Equity;SUZANO SA;BBB-;BZ;Materials
BCSF US Equity;BAIN CAPITAL SPECIALTY FINAN;BBB-;US;Financials
BAB VN Equity;BAC A COMMERCIAL JSC;B+;VN;Financials
3711 TT Equity;ASE TECHNOLOGY HOLDING CO LT;BBB;TA;Information Technology
TALO US Equity;TALOS ENERGY INC;B;US;Energy
YCPS SM Equity;CASTELLANA PROPERTIES SOCIMI;BBB;SP;Real Estate
LNWO US Equity;LIGHT & WONDER INC;BB;US;Consumer Discretionary
ENOG LN Equity;ENERGEAN PLC;BB-;GB;Energy
HTWS LN Equity;HELIOS TOWERS PLC;BB-;GB;Communication Services
MNG LN Equity;M&G PLC;A+;GB;Financials
BRTB IQ Equity;REGION TRADE BANK FOR INV;CCC+;IQ;
AVGO US Equity;BROADCOM INC;BBB+;US;Information Technology
ROAD US Equity;CONSTRUCTION PARTNERS INC-A;BB;US;Industrials
SPG GR Equity;SPRINGER NATURE AG & CO KGAA;BBB-;GE;Communication Services
AST ED Equity;BANCO DEL AUSTRO SA;CCC+;ED;
1810 HK Equity;XIAOMI CORP-CLASS B;BBB+;CH;Information Technology
BORR US Equity;BORR DRILLING LTD;B-;BD;Energy
BCIH IQ Equity;CIHAN BANK FOR ISLAMIC;CCC+;IQ;
CI US Equity;THE CIGNA GROUP;BBB+;US;Health Care
PSHD LN Equity;PERSHING SQUARE HOLDINGS LTD;BBB+;GS;
NEXI IM Equity;NEXI SPA;BBB-;IT;Financials
EPRT US Equity;ESSENTIAL PROPERTIES REALTY;BBB;US;Real Estate
KSPI KZ Equity;KASPI/KZ JSC;BBB-;KZ;Financials
VRT US Equity;VERTIV HOLDINGS CO-A;BBB-;US;Industrials
ELEV LR Equity;ELEVING GROUP SA;B;LL;Financials
VAMO3 BZ Equity;VAMOS LOCACAO DE CAMINHOES M;BB-;BZ;Industrials
NIC AU Equity;NICKEL INDUSTRIES LTD;B+;AU;Materials
TME US Equity;TENCENT MUSIC ENTERTAINM-ADR;A-;CH;Communication Services
ELAN US Equity;ELANCO ANIMAL HEALTH INC;BB;US;Health Care
3690 HK Equity;MEITUAN-CLASS B;BBB+;CH;Consumer Discretionary
PFSI US Equity;PENNYMAC FINANCIAL SERVICES;BB;US;Financials
AMCR US Equity;AMCOR PLC;BBB+;SZ;Materials
URTS ZU Equity;OZBEKISTON RESPUBLIKA TOVARX;B;UZ;
HGH NZ Equity;HEARTLAND GROUP HOLDINGS LTD;BBB;NZ;Financials
6862 HK Equity;HAIDILAO INTERNATIONAL HOLDI;BBB;CH;Consumer Discretionary
NDA FH Equity;NORDEA BANK ABP;AA-;FI;Financials
AML LN Equity;ASTON MARTIN LAGONDA GLOBAL;CCC+;GB;Consumer Discretionary
MCBA ZU Equity;MIKROKREDITBANK ATB;BB-;UZ;
UNVB ZU Equity;UNIVERSAL BANK ATB;B-;UZ;
KAP LI Equity;NAC KAZATOMPROM JSC-GDR REGS;BBB;KZ;Energy
SDLF LN Equity;STANDARD LIFE PLC;A+;GB;Financials
NFE US Equity;NEW FORTRESS ENERGY INC;RD;US;Energy
9434 JP Equity;SOFTBANK CORP;BBB+;JN;Communication Services
TITC BB Equity;TITAN SA;BB+;BE;Materials
STE US Equity;STERIS PLC;BBB;US;Health Care
BXSL US Equity;BLACKSTONE SECURED LENDING F;BBB;US;Financials
OTF US Equity;BLUE OWL TECHNOLOGY FINANCE;BBB-;US;Financials
NAB VN Equity;NAM A COMMERCIAL JSB;B+;VN;Financials
KOFUBL MM Equity;COCA-COLA FEMSA SAB DE CV;A;MX;Consumer Staples
EMG LN Equity;MAN GROUP PLC/JERSEY;BBB+;GB;Financials
CLVT US Equity;CLARIVATE PLC;BB-;GB;Industrials
AURE3 BZ Equity;AUREN ENERGIA SA - ON;BB+;BZ;Utilities
3877 HK Equity;CSSC HONG KONG SHIPPING CO L;A-;HK;Financials
IFS US Equity;INTERCORP FINANCIAL SERVICES;BBB;PE;Financials
ARTG CN Equity;ARTEMIS GOLD INC;B+;CA;Materials
285A JP Equity;KIOXIA HOLDINGS CORP;BB+;JN;Information Technology
VEL US Equity;VELOCITY FINANCIAL INC;B;US;Financials
REYN US Equity;REYNOLDS CONSUMER PRODUCTS I;BB+;US;Consumer Staples
XP US Equity;XP INC - CLASS A;BB;BZ;Financials
UWMC US Equity;UWM HOLDINGS CORP;BB-;US;Financials
OVV US Equity;OVINTIV INC;BBB-;US;Energy
SSW SJ Equity;SIBANYE STILLWATER LTD;BB;SA;Materials
MSDL US Equity;MORGAN STANLEY DIRECT LENDIN;BBB-;US;Financials
WFRD US Equity;WEATHERFORD INTERNATIONAL PL;BB;US;Energy
CNXC US Equity;CONCENTRIX CORP;BBB;US;Industrials
HPK US Equity;HIGHPEAK ENERGY INC;B;US;Energy
BAME IQ Equity;AMEEN AL-IRAQ BANK FOR ISLAM;CCC;IQ;
WMG US Equity;WARNER MUSIC GROUP CORP-CL A;BBB-;US;Communication Services
VNT US Equity;VONTIER CORP;BBB-;US;Information Technology
NCDL US Equity;NUVEEN CHURCHILL DIRECT LEND;BBB-;US;Financials
EUROB GA Equity;EUROBANK SA;BBB-;GR;Financials
AON US Equity;AON PLC-CLASS A;BBB+;GB;Financials
FOUR US Equity;SHIFT4 PAYMENTS INC-CLASS A;BB;US;Financials
JDEP NA Equity;JDE PEET'S NV;BBB;NE;Consumer Staples
RPRX US Equity;ROYALTY PHARMA PLC- CL A;BBB-;US;Health Care
PGY US Equity;PAGAYA TECHNOLOGIES LTD -A;B;US;Information Technology
RKT US Equity;ROCKET COS INC-CLASS A;BBB-;US;Financials
NTST US Equity;NETSTREIT CORP;BBB-;US;Real Estate
ACT US Equity;ENACT HOLDINGS INC;BBB+;US;Financials
JSLG3 BZ Equity;JSL SA;BB-;BZ;Industrials
GPGI US Equity;GPGI INC;BB-;US;Information Technology
OWL US Equity;BLUE OWL CAPITAL INC;BBB+;US;Financials
HLMN US Equity;HILLMAN SOLUTIONS CORP;BB;US;Industrials
CRC US Equity;CALIFORNIA RESOURCES CORP;B+;US;Energy
BRAV3 BZ Equity;BRAVA ENERGIA;BB-;BZ;Energy
VTRS US Equity;VIATRIS INC;BBB;US;Health Care
GBTG US Equity;GLOBAL BUSINESS TRAVEL GROUP;BB;US;Consumer Discretionary
OSB LN Equity;OSB GROUP PLC;BBB;GB;Financials
FRBP US Equity;FRANKLIN BSP CAPITAL CORP;BBB-;US;
GXO US Equity;GXO LOGISTICS INC;BBB-;US;Industrials
DFH US Equity;DREAM FINDERS HOMES INC - A;BB-;US;Consumer Discretionary
BKV US Equity;BKV CORPORATION;B;US;Energy
APA US Equity;APA CORP;BBB-;US;Energy
TCAP LN Equity;TP ICAP GROUP PLC;BBB-;GB;Financials
1024 HK Equity;KUAISHOU TECHNOLOGY;A-;CH;Communication Services
INPST NA Equity;INPOST SA;BB+;PD;Industrials
TPEIR GA Equity;PIRAEUS BANK SA;BBB-;GR;Financials
EXE US Equity;EXPAND ENERGY CORP;BBB-;US;Energy
BMBL US Equity;BUMBLE INC-A;BB-;US;Communication Services
AMBP US Equity;ARDAGH METAL PACKAGING SA;B;LX;Materials
APO US Equity;APOLLO GLOBAL MANAGEMENT INC;A;US;Financials
FOA US Equity;FINANCE OF AMERICA COS INC-A;CCC;US;Financials
MRVL US Equity;MARVELL TECHNOLOGY INC;BBB;US;Information Technology
ALPHA GA Equity;ALPHA BANK SA;BBB-;GR;Financials
PCO PW Equity;PEPCO GROUP NV;BB;GB;Consumer Discretionary
AYDEM TI Equity;AYDEM YENILENEBILIR ENERJI A;B;TU;Utilities
UZMT ZU Equity;UZAUTO MOTORS AJ;BB-;UZ;
ZIP US Equity;ZIPRECRUITER INC-A;B;US;Communication Services
VAL US Equity;VALARIS LTD;B+;US;Energy
DTM US Equity;DT MIDSTREAM INC;BBB-;US;Energy
GPOR US Equity;GULFPORT ENERGY CORP;B+;US;Energy
WBD US Equity;WARNER BROS DISCOVERY INC;BB+;US;Communication Services
STX US Equity;SEAGATE TECHNOLOGY HOLDINGS;BB+;US;Information Technology
EDV CN Equity;ENDEAVOUR MINING PLC;BB;GB;Materials
RYAN US Equity;RYAN SPECIALTY HOLDINGS INC;BB+;US;Financials
GTCO NL Equity;GUARANTY TRUST HOLDING CO PL;B;NG;Financials
WISE LN Equity;WISE PLC - A;BBB;GB;Financials
CRWV US Equity;COREWEAVE INC-CL A;BB-;US;Information Technology
RNW US Equity;RENEW ENERGY GLOBAL PLC-A;BB-;IN;Utilities
SLVM US Equity;SYLVAMO CORP;BB+;US;Materials
LTH US Equity;LIFE TIME GROUP HOLDINGS INC;BB-;US;Consumer Discretionary
AZE BB Equity;AZELIS GROUP NV;BB+;BE;Industrials
IHS US Equity;IHS HOLDING LTD;B+;GB;Communication Services
ASTL CN Equity;ALGOMA STEEL GROUP INC;B;CA;Materials
FERTIGLB UH Equity;FERTIGLOBE PLC;BBB;UA;Materials
KD US Equity;KYNDRYL HOLDINGS INC;BBB;US;Information Technology
KLC US Equity;KINDERCARE LEARNING COS INC;B+;US;Consumer Discretionary
DKNG US Equity;DRAFTKINGS INC-CL A;BB+;US;Consumer Discretionary
DINO US Equity;HF SINCLAIR CORP;BBB-;US;Energy
GEV US Equity;GE VERNOVA INC;BBB+;US;Industrials
CRGY US Equity;CRESCENT ENERGY INC-A;BB-;US;Energy
IVG IM Equity;IVECO GROUP NV;BBB-;IT;Industrials
TPG US Equity;TPG INC;A-;US;Financials
SHEL LN Equity;SHELL PLC;AA-;GB;Energy
BLCO CN Equity;BAUSCH + LOMB CORP;B;CA;Health Care
RXO US Equity;RXO INC;BB;US;Industrials
SITES1 MM Equity;OPERADORA DE SITES MEX- A-1;BBB+;MX;Communication Services
SCB TB Equity;SCB X PCL;BBB;TH;Financials
LASITE* MM Equity;SITIOS LATINOAMERICA SAB DE;BBB-;MX;Communication Services
CRBG US Equity;COREBRIDGE FINANCIAL INC;A-;US;Financials
SDRL US Equity;SEADRILL LIMITED;B+;BD;Energy
CS CN Equity;CAPSTONE COPPER CORP;BB-;CA;Materials
NE US Equity;NOBLE CORP PLC;BB-;US;Energy
SOLV US Equity;SOLVENTUM CORP;BBB;US;Health Care
SALIK UH Equity;SALIK CO PJSC;A;UA;Industrials
FTAI US Equity;FTAI AVIATION LTD;BB+;US;Industrials
NATL US Equity;NCR ATLEOS CORP;BB-;US;Financials
BAM CN Equity;BROOKFIELD ASSET MGMT-A;A;US;Financials
MBC US Equity;MASTERBRAND INC;BB+;US;Industrials
ITH LN Equity;ITHACA ENERGY PLC;BB-;GB;Energy
GEHC US Equity;GE HEALTHCARE TECHNOLOGY;BBB;US;Health Care
FG US Equity;F&G ANNUITIES & LIFE INC;BBB;US;Financials
MTRO LN Equity;METRO BANK HOLDINGS PLC;BB-;GB;Financials
FTRE US Equity;FORTREA HOLDINGS INC;B;US;Health Care
FER SM Equity;FERROVIAL SE;BBB;NE;Industrials
PUBLI NO Equity;PUBLIC PROPERTY INVEST AS;BBB+;NO;Real Estate
BGC US Equity;BGC GROUP INC-A;BBB-;US;Financials
AU US Equity;ANGLOGOLD ASHANTI PLC;BBB-;GB;Materials
HHH US Equity;HOWARD HUGHES HOLDINGS INC;BB;US;Real Estate
BIRK US Equity;BIRKENSTOCK HOLDING PLC;BB+;GB;Consumer Discretionary
ETS AV Equity;EUROTELESITES AG;BBB-;AS;Communication Services
HG US Equity;HAMILTON INSURANCE GROU-CL B;BBB+;BD;Financials
WAY US Equity;WAYSTAR HOLDING CORP;BB;US;Health Care
BG US Equity;BUNGE GLOBAL SA;BBB+;US;Consumer Staples
CURB US Equity;CURBLINE PROPERTIES CORP;BBB;US;Real Estate
AUNA US Equity;AUNA SA-CLASS A;B+;LX;Health Care
GALD SW Equity;GALDERMA GROUP AG;BBB;SZ;Health Care
ASMDEE SS Equity;ASMODEE GROUP AB-B;BB-;SW;Consumer Discretionary
LB US Equity;LANDBRIDGE CO LLC-A;BB;US;Real Estate
SOBO CN Equity;SOUTH BOW CORP;BBB-;CA;Energy
LINE US Equity;LINEAGE INC;BBB+;US;Real Estate
SW US Equity;SMURFIT WESTROCK PLC;BBB+;IR;Materials
SMC US Equity;SUMMIT MIDSTREAM CORP;B-;US;Energy
AMTM US Equity;AMENTUM HOLDINGS INC;BB+;US;Industrials
TEL US Equity;TE CONNECTIVITY PLC;A-;IR;Information Technology
INGM US Equity;INGRAM MICRO HOLDING CORP;BB;US;Information Technology
BALY US Equity;BALLY'S CORP;B-;US;Consumer Discretionary
SNDK US Equity;SANDISK CORP;BB;US;Information Technology
APTV US Equity;APTIV PLC;BBB;IR;Consumer Discretionary
SFD US Equity;SMITHFIELD FOODS INC;BBB;US;Consumer Staples
MRP US Equity;MILLROSE PROPERTIES;BBB-;US;Real Estate
CIBEST CB Equity;GRUPO CIBEST SA;BB+;CO;Financials
Q US Equity;QNITY ELECTRONICS INC;BB+;US;Information Technology
JBS US Equity;JBS NV-A;BBB-;NE;Consumer Staples
VGN AU Equity;VIRGIN AUSTRALIA HOLDINGS LT;D;AU;Industrials
PSKY US Equity;PARAMOUNT SKYDANCE CL B;BBB-;US;Communication Services
1828 HK Equity;FWD GROUP HOLDINGS LTD;BBB+;HK;Financials
NIQ US Equity;NIQ GLOBAL INTELLIGENCE PLC;BB-;US;Communication Services
VNOM US Equity;VIPER ENERGY INC-CL A;BBB-;US;Energy
SOLS US Equity;SOLSTICE ADV MATERIALS INC;BB+;US;Materials
VSNT US Equity;VERSANT MEDIA GROUP INC;BB;US;Communication Services
MDLN US Equity;MEDLINE INC-CL A;BBB-;US;Health Care
ALK US Equity;ALASKA AIR GROUP INC;BB+;US;Industrials
HON US Equity;HONEYWELL INTERNATIONAL INC;A;US;Industrials
AEP US Equity;AMERICAN ELECTRIC POWER;BBB;US;Utilities
AXP US Equity;AMERICAN EXPRESS CO;A;US;Financials
AIG US Equity;AMERICAN INTERNATIONAL GROUP;A;US;Financials
ADI US Equity;ANALOG DEVICES INC;A;US;Information Technology
ADM US Equity;ARCHER-DANIELS-MIDLAND CO;A;US;Consumer Staples
ARW US Equity;ARROW ELECTRONICS INC;BBB-;US;Information Technology
ADP US Equity;AUTOMATIC DATA PROCESSING;AA-;US;Industrials
AZO US Equity;AUTOZONE INC;BBB;US;Consumer Discretionary
AVT US Equity;AVNET INC;BBB-;US;Information Technology
BBVA SM Equity;BANCO BILBAO VIZCAYA ARGENTA;A-;SP;Financials
BCP PL Equity;BANCO COMERCIAL PORTUGUES-R;BBB+;PO;Financials
SAN SM Equity;BANCO SANTANDER SA;A;SP;Financials
BOH US Equity;BANK OF HAWAII CORP;BBB+;US;Financials
BK US Equity;BANK OF NEW YORK MELLON CORP;AA-;US;Financials
BARC LN Equity;BARCLAYS PLC;A;GB;Financials
BDX US Equity;BECTON DICKINSON AND CO;BBB;US;Health Care
VZ US Equity;VERIZON COMMUNICATIONS INC;A-;US;Communication Services
BA US Equity;BOEING CO/THE;BBB-;US;Industrials
BSX US Equity;BOSTON SCIENTIFIC CORP;A-;US;Health Care
BP/ LN Equity;BP PLC;A+;GB;Energy
BT/A LN Equity;BT GROUP PLC;BBB;GB;Communication Services
BHP AU Equity;BHP GROUP LTD;A;AU;Materials
BC US Equity;BRUNSWICK CORP;BBB;US;Consumer Discretionary
CTRA US Equity;COTERRA ENERGY INC;BBB;US;Energy
CDNS US Equity;CADENCE DESIGN SYS INC;A-;US;Information Technology
BXMT US Equity;BLACKSTONE MORTGAGE TRU-CL A;BB-;US;Financials
CPB US Equity;THE CAMPBELL'S COMPANY;BBB-;US;Consumer Staples
CCL US Equity;CARNIVAL CORP;BBB-;US;Consumer Discretionary
CRS US Equity;CARPENTER TECHNOLOGY;BBB-;US;Industrials
CAT US Equity;CATERPILLAR INC;A+;US;Industrials
LUMN US Equity;LUMEN TECHNOLOGIES INC;B;US;Communication Services
JPM US Equity;JPMORGAN CHASE & CO;AA-;US;Financials
CLF US Equity;CLEVELAND-CLIFFS INC;BB-;US;Materials
CMS US Equity;CMS ENERGY CORP;BBB;US;Utilities
CNA US Equity;CNA FINANCIAL CORP;A-;US;Financials
CMC US Equity;COMMERCIAL METALS CO;BB+;US;Materials
CAG US Equity;CONAGRA BRANDS INC;BBB-;US;Consumer Staples
ED US Equity;CONSOLIDATED EDISON INC;BBB+;US;Utilities
CSX US Equity;CSX CORP;A-;US;Industrials
TGT US Equity;TARGET CORP;A;US;Consumer Staples
DE US Equity;DEERE & CO;A+;US;Industrials
DLX US Equity;DELUXE CORP;B+;US;Industrials
DDS US Equity;DILLARDS INC-CL A;BBB-;US;Consumer Discretionary
D US Equity;DOMINION ENERGY INC;BBB+;US;Utilities
ECL US Equity;ECOLAB INC;A-;US;Materials
RVTY US Equity;REVVITY INC;BBB;US;Health Care
ELE SM Equity;ENDESA SA;BBB+;SP;Utilities
EQT US Equity;EQT CORP;BBB-;US;Energy
NEU US Equity;NEWMARKET CORP;BBB;US;Materials
FMCC US Equity;FREDDIE MAC;AA+;US;Financials
FNMA US Equity;FANNIE MAE;AA+;US;Financials
M US Equity;MACY'S INC;BBB-;US;Consumer Discretionary
FMC US Equity;FMC CORP;BB+;US;Materials
F US Equity;FORD MOTOR CO;BBB-;US;Consumer Discretionary
NEE US Equity;NEXTERA ENERGY INC;A-;US;Utilities
FCX US Equity;FREEPORT-MCMORAN INC;BBB;US;Materials
AJG US Equity;ARTHUR J GALLAGHER & CO;BBB+;US;Financials
GATX US Equity;GATX CORP;BBB+;US;Industrials
GPC US Equity;GENUINE PARTS CO;BBB-;US;Consumer Discretionary
GT US Equity;GOODYEAR TIRE & RUBBER CO;BB-;US;Consumer Discretionary
HOG US Equity;HARLEY-DAVIDSON INC;BBB+;US;Consumer Discretionary
LHX US Equity;L3HARRIS TECHNOLOGIES INC;BBB+;US;Industrials
HE US Equity;HAWAIIAN ELECTRIC INDS;B+;US;Utilities
HPQ US Equity;HP INC;BBB+;US;Information Technology
HXL US Equity;HEXCEL CORP;BBB-;US;Industrials
HD US Equity;HOME DEPOT INC;A;US;Consumer Discretionary
MTH US Equity;MERITAGE HOMES CORP;BBB-;US;Consumer Discretionary
7267 JP Equity;HONDA MOTOR CO LTD;A;JN;Consumer Discretionary
HMN US Equity;HORACE MANN EDUCATORS;BBB+;US;Financials
CNP US Equity;CENTERPOINT ENERGY INC;BBB;US;Utilities
HUBB US Equity;HUBBELL INC;A-;US;Industrials
HUM US Equity;HUMANA INC;BBB;US;Health Care
IEX US Equity;IDEX CORP;BBB+;US;Industrials
IBM US Equity;INTL BUSINESS MACHINES CORP;A-;US;Information Technology
IFF US Equity;INTL FLAVORS & FRAGRANCES;BBB;US;Materials
KMT US Equity;KENNAMETAL INC;BBB;US;Industrials
KIM US Equity;KIMCO REALTY CORP;A-;US;Real Estate
KSS US Equity;KOHLS CORP;BB-;US;Consumer Discretionary
LEG US Equity;LEGGETT & PLATT INC;BBB-;US;Consumer Discretionary
LEN US Equity;LENNAR CORP-A;BBB+;US;Consumer Discretionary
JEF US Equity;JEFFERIES FINANCIAL GROUP IN;BBB+;US;Financials
LNC US Equity;LINCOLN NATIONAL CORP;A-;US;Financials
HST US Equity;HOST HOTELS & RESORTS INC;BBB;US;Real Estate
MRSH US Equity;MARSH & MCLENNAN COS;A-;US;Financials
MAS US Equity;MASCO CORP;BBB;US;Industrials
MAT US Equity;MATTEL INC;BBB-;US;Consumer Discretionary
SPGI US Equity;S&P GLOBAL INC;A-;US;Financials
MDU US Equity;MDU RESOURCES GROUP INC;BBB+;US;Utilities
CVS US Equity;CVS HEALTH CORP;BBB;US;Health Care
MGM US Equity;MGM RESORTS INTERNATIONAL;BB-;US;Consumer Discretionary
MU US Equity;MICRON TECHNOLOGY INC;BBB;US;Information Technology
