Ticker;Name;Fitch Long Term Issuer Default Rating;Cntry Terrtry;GICS Sector
SBU UG Equity;STANBIC BANK UGANDA LTD;B+;UG;Financials
BKSB OM Equity;SOHAR INTERNATIONAL BANK;BB+;OM;Financials
ACB VN Equity;ASIA COMMERCIAL BANK;BB-;VN;Financials
QUB AU Equity;QUBE HOLDINGS LTD;BBB;AU;Industrials
AKRBP NO Equity;AKER BP ASA;BBB;NO;Energy
SCR FP Equity;SCOR SE;A;FR;Financials
CQP US Equity;CHENIERE ENERGY PARTNERS LP;BBB;US;Energy
SNB AB Equity;THE SAUDI NATIONAL BANK;A;SR;Financials
ECOPETL CB Equity;ECOPETROL SA;BB;CO;Energy
HROW US Equity;HARROW INC;B-;US;Health Care
CNK US Equity;CINEMARK HOLDINGS INC;BB-;US;Communication Services
EUBG BU Equity;EUROHOLD BULGARIA AD;B;BP;Financials
OINL IN Equity;OIL INDIA LTD;BBB-;IN;Energy
ADSEZ IN Equity;ADANI PORTS AND SPECIAL ECON;BBB-;IN;Industrials
BR US Equity;BROADRIDGE FINANCIAL SOLUTIO;BBB+;US;Industrials
CIA AU Equity;CHAMPION IRON LTD;BB-;AU;Materials
SRE LN Equity;SIRIUS REAL ESTATE LTD;BBB;GE;Real Estate
IRB IN Equity;IRB INFRASTRUCTURE DEVELOPER;BB+;IN;Industrials
MBRF3 BZ Equity;MBRF GLOBAL FOODS COMPANY SA;BB+;BZ;Consumer Staples
DAL US Equity;DELTA AIR LINES INC;BBB-;US;Industrials
1658 HK Equity;POSTAL SAVINGS BANK OF CHI-H;A;CH;Financials
CONK RO Equity;CONCAS SA BUZAU;BBB-;RO;
SARO US Equity;STANDARDAERO INC;BB;US;Industrials
MELI US Equity;MERCADOLIBRE INC;BBB-;UR;Consumer Discretionary
FXPO LN Equity;FERREXPO PLC;CCC-;SZ;Materials
960 HK Equity;LONGFOR GROUP HOLDINGS LTD;BB-;CH;Real Estate
BEEF3 BZ Equity;MINERVA SA;BB;BZ;Consumer Staples
CVI US Equity;CVR ENERGY INC;B+;US;Energy
IPF LN Equity;INTERNATIONAL PERSONAL FINAN;BB;GB;Financials
CLINT SP Equity;CAPITALAND INDIA TRUST;BBB-;SI;Real Estate
GSHP3 BZ Equity;GENERAL SHOPPING E OUTLETS D;CC;BZ;Real Estate
FIB BU Equity;CB FIRST INVESTMENT BANK AD;B;BP;Financials
AMG NA Equity;AMG CRITICAL MATERIALS N.V.;BB-;NE;Materials
BRIS IJ Equity;BANK SYARIAH INDONESIA TBK P;BBB-;ID;Financials
BRSR6 BZ Equity;BANCO ESTADO RIO GRAN-PREF B;BB-;BZ;Financials
ABCB4 BZ Equity;BANCO ABC BRASIL SA;BB+;BZ;Financials
817 HK Equity;CHINA JINMAO HOLDINGS GROUP;BBB-;HK;Real Estate
MSCI US Equity;MSCI INC;BBB-;US;Financials
TPE PW Equity;TAURON POLSKA ENERGIA SA;BBB-;PD;Utilities
ENG PW Equity;ENERGA SA;BBB+;PD;Utilities
AROC US Equity;ARCHROCK INC;BB;US;Energy
DXCO3 BZ Equity;DEXCO SA;BB;BZ;Materials
GPRK US Equity;GEOPARK LTD;B+;CO;Energy
EFX CN Equity;ENERFLEX LTD;BB;CA;Energy
PM US Equity;PHILIP MORRIS INTERNATIONAL;A;US;Consumer Staples
CABK SM Equity;CAIXABANK SA;A-;SP;Financials
CPS PW Equity;CYFROWY POLSAT SA;BB;PD;Communication Services
CTEC LN Equity;CONVATEC GROUP PLC;BBB;GB;Health Care
EMIRATES UH Equity;EMIRATES NBD PJSC;A+;UA;Financials
OCSL US Equity;OAKTREE SPECIALTY LENDING CO;BBB-;US;Financials
KER PW Equity;KERNEL HOLDING SA;CCC-;UK;Consumer Staples
390 HK Equity;CHINA RAILWAY GROUP LTD-H;BBB+;CH;Industrials
TREE US Equity;LENDINGTREE INC;B+;US;Financials
VGP BB Equity;VGP;BBB-;BE;Real Estate
DAN US Equity;DANA INC;BB+;US;Consumer Discretionary
BIP US Equity;BROOKFIELD INFRASTRUCTURE PA;BBB+;BD;Utilities
FAF US Equity;FIRST AMERICAN FINANCIAL;BBB+;US;Financials
SLRC US Equity;SLR INVESTMENT CORP;BBB-;US;Financials
AJMANBAN UH Equity;AJMAN BANK PJSC;BBB+;UA;Financials
IRDM US Equity;IRIDIUM COMMUNICATIONS INC;BB;US;Communication Services
TMLZ KZ Equity;FORTELEASING JSC;BB;KZ;
IMH KN Equity;I&M GROUP PLC;B-;KN;Financials
TEXN AZ Equity;TECHNIKABANK OJSC;B-;AZ;
ADPORTS UH Equity;ABU DHABI PORTS CO PJSC;AA-;UA;Industrials
UZNG ZU Equity;UZBEKNEFTEGAZ JSC;BB;UZ;
INDY IJ Equity;INDIKA ENERGY TBK PT;B+;ID;Energy
MHPC LI Equity;MHP SE;CCC;UK;Consumer Staples
CVE CN Equity;CENOVUS ENERGY INC;BBB;CA;Energy
B3SA3 BZ Equity;B3 SA-BRASIL BOLSA BALCAO;BB+;BZ;Financials
BOLSAA MM Equity;BOLSA MEXICANA DE VALORES SA;BBB;MX;Financials
GEB GG Equity;BANK OF GEORGIA JSC;BB;GG;
601766 CH Equity;CRRC CORP LTD-A;A;CH;Industrials
MTDR US Equity;MATADOR RESOURCES CO;BB;US;Energy
BANCOSAL EL Equity;BANCO DAVIVIENDA SALVADORENO;B+;EL;
ABVES EL Equity;BOLSA DE VALORES DE EL SALV;BBB-;EL;
601668 CH Equity;CHINA STATE CONSTRUCTION -A;A-;CH;Industrials
SDG MK Equity;SD GUTHRIE BHD;BBB;MA;Consumer Staples
CTG VN Equity;VIETNAM JS COMMERCIAL BANK F;BB+;VN;Financials
ENA PW Equity;ENEA SA;BBB;PD;Utilities
089860 KS Equity;LOTTE RENTAL CO LTD;BBB-;SK;Industrials
CON PN Equity;BANCO CONTINENTA SAECA;BB+;PG;
HEZB AY Equity;ARMENIAN ECONOMY DEVELOPMENT;B+;AE;
CHTR US Equity;CHARTER COMMUNICATIONS INC-A;BB+;US;Communication Services
SHB VN Equity;SAIGON - HANOI COMMERICIAL;BB-;VN;Financials
KZIK KZ Equity;KAZAKHSTAN MORTGAGE CO JSC;BBB;KZ;Financials
CPX CN Equity;CAPITAL POWER CORP;BBB-;CA;Utilities
STWD US Equity;STARWOOD PROPERTY TRUST INC;BB+;US;Financials
ENJOY CI Equity;ENJOY SA;D;CL;Consumer Discretionary
GM US Equity;GENERAL MOTORS CO;BBB;US;Consumer Discretionary
EFC US Equity;ELLINGTON FINANCIAL INC;BB-;US;Financials
MYS AU Equity;MYSTATE LTD;BBB+;AU;Financials
BANK GG Equity;LIBERTY BANK JSC;B+;GG;
MBB VN Equity;MILITARY COMMERCIAL JOINT;BB;VN;Financials
MSP SJ Equity;MAS P.L.C.;BB-;MB;Real Estate
ALR PW Equity;ALIOR BANK SA;BB+;PD;Financials
IBAZ AZ Equity;INTERNATIONAL BANK OF AZERBA;BB;AZ;
601162 CH Equity;TIANFENG SECURITIES CO LTD-A;BBB-;CH;Financials
1128 HK Equity;WYNN MACAU LTD;BB-;U2;Consumer Discretionary
ALUP11 BZ Equity;ALUPAR INVESTIMENTO SA-UNIT;BB+;BZ;Utilities
BKU US Equity;BANKUNITED INC;BBB;US;Financials
1928 HK Equity;SANDS CHINA LTD;BBB;U2;Consumer Discretionary
LEA US Equity;LEAR CORP;BBB;US;Consumer Discretionary
TRNO US Equity;TERRENO REALTY CORP;BBB+;US;Real Estate
BGUC IQ Equity;GULF COMMERCIAL BANK;CCC;IQ;
AR US Equity;ANTERO RESOURCES CORP;BBB-;US;Energy
002352 CH Equity;S F HOLDING CO LTD-A;A-;CH;Industrials
GBDC US Equity;GOLUB CAPITAL BDC INC;BBB;US;Financials
CARM FP Equity;CARMILA;BBB;FR;Real Estate
1972 HK Equity;SWIRE PROPERTIES LTD;A;HK;Real Estate
PCZ GR Equity;PROCREDIT HOLDING AG;BBB;GE;Financials
300058 CH Equity;BLUEFOCUS INTELLIGENT COMM-A;B;CH;Communication Services
RYZ US Equity;RYERSON HOLDING CORP;BB;US;Materials
PDM US Equity;PIEDMONT REALTY TRUST INC;BBB-;US;Real Estate
SES CN Equity;SECURE WASTE INFRASTRUCTURE;BB-;CA;Energy
HPP US Equity;HUDSON PACIFIC PROPERTIES IN;B+;US;Real Estate
VEON US Equity;VEON LTD;BB-;UA;Communication Services
1299 HK Equity;AIA GROUP LTD;AA-;HK;Financials
1288 HK Equity;AGRICULTURAL BANK OF CHINA-H;A;CH;Financials
300498 CH Equity;WENS FOODSTUFF GROUP CO L-A;BB;CH;Consumer Staples
601118 CH Equity;CHINA HAINAN RUBBER INDUST-A;BBB;CH;Materials
NXPI US Equity;NXP SEMICONDUCTORS NV;BBB+;NE;Information Technology
ATKR US Equity;ATKORE INC;BBB-;US;Industrials
LYB US Equity;LYONDELLBASELL INDU-CL A;BBB;US;Materials
AL US Equity;AIR LEASE CORP;BBB;US;Industrials
EKGYO TI Equity;EMLAK KONUT GAYRIMENKUL YATI;BB-;TU;Real Estate
ALFA UZ Equity;SENSE BANK JSC;CCC;UK;
