Ticker,Short Name,NI / Profit T12M,SE End Pd LF,EBITDA T12M,EBIT T12M,Total Liab LF,FCF T12M,Tot Assets LF,Market Cap,P/E,Total Return YTD,Revenue T12M,EPS T12M,Tot Debt LF,Fitch Long Term Issuer Default Rating,Curr Liab LF,Curr Assets LF
CCEP US Equity,COCA-COLA EUROPA,1942000000.00,8303000064.00,3716000000.00,2793000000.00,21569000000.00,2028000000.00,29872000000.00,44908015656.78,20.16,10.50,20901000000.00,4.26,11380227283.60,BBB+,7585000000.00,6079000000.00
SHW US Equity,SHERWIN-WILLIAMS,2568500064.00,4598300160.00,5081500000.00,3812900000.00,21303400000.00,2654000000.00,25901700000.00,81599891358.24,31.11,2.03,23574300000.00,10.38,12942600000.00,BBB+,6920300000.00,6007400000.00
RYA ID Equity,RYANAIR HLDGS,2241000000.00,8781299712.00,3698600000.00,2389600000.00,7262700000.00,2129900000.00,16044000000.00,26528380902.50,12.37,-10.78,15329000000.00,2.12,1464937333.33,BBB+,6459400000.00,4303900000.00
GASCO CI Equity,EMPRESAS GASCO S,17977388544.00,481439580160.00,82368883000.00,40907994000.00,587449321000.00,-38631078000.00,1068888896000.00,259576800000.00,14.44,-11.07,619268558000.00,107.01,248934907000.00,BBB-,203653335000.00,138394847000.00
ERICB SS Equity,ERICSSON LM-B,28427999488.00,110264000512.00,47489000000.00,38580000000.00,168959000000.00,29186000000.00,279223000000.00,339002513843.73,12.08,13.69,236681000000.00,8.53,40264000000.00,BBB-,110937000000.00,143554000000.00
AC FP Equity,ACCOR SA,449000000.00,4717000192.00,1137000000.00,807000000.00,7027000000.00,624000000.00,11744000000.00,9815459883.49,23.11,-10.14,5639000000.00,1.87,3655503044.64,BBB-,2773000000.00,2905000000.00
IMCD NA Equity,IMCD NV,217578000.00,2042177024.00,514171000.00,371253000.00,2593695000.00,309240000.00,4635872000.00,4141106265.63,19.44,-7.27,4778874000.00,3.69,1790213000.00,BBB-,1034899000.00,1795148000.00
AES US Equity,AES CORP,910000000.00,11928999936.00,3368000000.00,1857000000.00,39839000000.00,-1623000000.00,51768000000.00,10082707869.00,6.20,-0.14,12233000000.00,1.27,30183000000.00,BBB-,8492000000.00,6502000000.00
MTH US Equity,MERITAGE HOMES C,453013008.00,5195642880.00,576307000.00,540455000.00,2426644000.00,92566000.00,7622287000.00,4521736946.16,10.71,2.87,5860615000.00,6.38,1889524000.00,BBB-,597590000.00,7069233000.00
PGAS IJ Equity,PERUSAHAAN GAS N,215364804.00,3607835648.00,880838877.00,519634233.00,2624548641.00,530872312.00,6232384211.00,49695091801800.00,12.96,7.33,3975918206.00,0.01,1098802004.00,BBB-,1169445891.00,2073924082.00
TAH AU Equity,TABCORP HLDGS,33000000.00,1267299968.00,378700000.00,166200000.00,1871100000.00,207300000.00,3138400000.00,2243434992.94,70.28,0.38,2628200000.00,0.01,1028389711.27,BBB-,725600000.00,399900000.00
OINL IN Equity,OIL INDIA LTD,65509298176.00,547057991680.00,112162800000.00,88980500000.00,497388700000.00,-14982600000.00,1044446700000.00,771093403467.50,12.03,15.94,361637500000.00,40.27,245946207650.46,BBB-,152179100000.00,187090200000.00
ADSEZ IN Equity,ADANI PORTS AND,110923096064.00,649733406720.00,190246400000.00,146457100000.00,642132049093.75,74651500000.00,1353322300000.00,3274617178485.40,28.77,0.52,304753300000.00,51.35,473207975555.56,BBB-,209859900000.00,189441200000.00
VESTA* MM Equity,VESTA SAB DE CV,241887800.00,2747756800.00,221181270.00,219456633.00,1846910174.25,-175566498.00,4437131627.52,49861451465.30,11.47,7.65,283224807.00,0.29,1224768070.33,BBB-,82079516.00,397351534.00
EXE US Equity,EXPAND ENERGY CO,1819000000.00,18577999872.00,5542000000.00,2471000000.00,9709000000.00,1644000000.00,28287000000.00,25684150098.40,8.65,-2.67,12124000000.00,7.63,4891618941.18,BBB-,2901000000.00,2916000000.00
FME GR Equity,FRESENIUS MEDICA,932264176.00,12170082304.00,2764428763.13,1458667151.17,14246706400.40,1564997607.13,26417087949.30,11578094428.91,12.32,-2.89,17397274719.86,3.21,11003943404.46,BBB-,5321452266.30,6730226640.00
GWI LN Equity,GLOBALWORTH REAL,9596000.00,1513584000.00,101421000.00,100311000.00,1604608000.00,13068000.00,3118192000.00,493865140.45,50.66,-9.77,236334000.00,0.04,1397161000.00,BBB-,115473000.00,437208000.00
F US Equity,FORD MOTOR CO,-8182000448.00,35980001280.00,-607000000.00,-9169000000.00,253180000000.00,12467000000.00,289160000000.00,48472123983.75,11.12,-6.41,187267000000.00,-2.06,165738000000.00,BBB-,114890000000.00,123487000000.00
LEG US Equity,LEGGETT & PLATT,235400000.00,1022600000.00,540200000.00,356000000.00,2513800000.00,281000000.00,3536400000.00,1444378824.22,13.28,-3.36,4055100000.00,1.70,1659800000.00,BBB-,775000000.00,1743600000.00
OTEL OM Equity,OMAN TELECOMMUNI,88423000.00,2985699072.00,1155370000.00,548341000.00,5946576000.00,378854000.00,8932275000.00,974999964.24,10.97,23.25,3413055000.00,0.12,3310372000.00,BBB-,2657520000.00,2833187000.00
CRS US Equity,CARPENTER TECH,434900000.00,1985400064.00,740900000.00,597700000.00,1518900000.00,316700000.00,3504300000.00,19281839547.87,43.36,23.02,2944300000.00,8.68,698700000.00,BBB-,412800000.00,1756000000.00
VRT US Equity,VERTIV HOLDING-A,1332800000.00,3941299968.00,2246000000.00,1853700000.00,8271100000.00,1893800000.00,12212400000.00,92504656625.92,67.67,49.24,10229900000.00,3.48,3227500000.00,BBB-,4407000000.00,6819500000.00
VNOM US Equity,VIPER ENERGY I-A,-68000000.00,10362999808.00,467000000.00,-140000000.00,2308000000.00,-496000000.00,12671000000.00,16041241773.90,10.14,15.52,1395000000.00,-0.23,2186000000.00,BBB-,111000000.00,413000000.00
EQT US Equity,EQT CORP,2039247040.00,27360147456.00,5902596000.00,3249619000.00,14432726000.00,2837527000.00,41792874000.00,38680017040.00,22.02,15.93,8225084000.00,3.33,8031260000.00,BBB-,2484841000.00,1895151000.00
THBEV SP Equity,THAI BEVERAGE,25360503808.00,215820386304.00,52811407000.00,42464950000.00,287878014747.57,29795132000.00,533220389555.91,10932283532.12,10.69,-1.60,333286188000.00,1.01,235450185000.00,BBB-,88655538000.00,131590209000.00
ADANIENS IN Equity,ADANI ENERGY SOL,10599700480.00,230112591872.00,83856500000.00,65024500000.00,510981000000.00,-31097900000.00,739601000000.00,1178938814186.99,112.43,-3.39,237670900000.00,9.05,422934964963.68,BBB-,99226800000.00,135865100000.00
ETS AV Equity,EUROTELESITES AG,33425000.00,413940992.00,239252000.00,104482000.00,1685172000.00,100252500.00,2099113000.00,755868781.69,22.66,-0.44,280153000.00,0.20,1291706000.00,BBB-,389146000.00,96484000.00
ENTEL CI Equity,ENTEL,191396470784.00,1943296933888.00,820619937000.00,249853484000.00,3773582832000.00,276878301000.00,5716879713000.00,1170316312875.00,6.11,-17.57,2954930278000.00,633.73,2340740253000.00,BBB-,1165931045000.00,1349902280000.00
TCAP LN Equity,TP ICAP GROUP PL,175000000.00,1960000000.00,358000000.00,245000000.00,5516000000.00,298000000.00,7476000000.00,1902425807.14,11.02,-0.19,2333000000.00,0.24,977000000.00,BBB-,4516000000.00,5463000000.00
